cell_id,cluster,leiden
993,stromal 3,1
994,GATA3+ epithelial,3
995,luminal epithelial 3,0
996,luminal epithelial 1,1
997,stromal 3,5
998,luminal epithelial 1,3
999,t cells,0
1000,immune,25
1001,proliferating epithelial,0
1002,stromal 3,2
1003,luminal epithelial 3,3
1004,basal epithelial 1,1
1005,immune,2
1006,immune,1
1007,luminal epithelial 1,13
1008,luminal epithelial 3,8
1009,proliferating epithelial,0
1010,luminal epithelial 3,1
1011,proliferating epithelial,13
1012,luminal epithelial 3,18
1013,luminal epithelial 3,1
1014,luminal epithelial 1,13
1015,GATA3+ epithelial,0
1016,GATA3+ epithelial,0
1017,GATA3+ epithelial,22
1018,stromal 3,0
1019,GATA3+ epithelial,5
1020,immune,3
1021,proliferating epithelial,1
1022,GATA3+ epithelial,11
1023,luminal epithelial 3,0
1024,luminal epithelial 3,1
1025,GATA3+ epithelial,3
1026,stromal 3,13
1027,luminal epithelial 1,13
1028,luminal epithelial 1,13
1029,proliferating epithelial,13
1030,b cells,2
1031,GATA3+ epithelial,8
1032,luminal epithelial 1,0
1033,proliferating epithelial,0
1034,luminal epithelial 1,13
1035,epithelial,14
1036,GATA3+ epithelial,3
1037,luminal epithelial 3,0
1038,stromal 1,1
1039,luminal epithelial 2,1
1040,luminal epithelial 3,1
1041,GATA3+ epithelial,13
1042,luminal epithelial 1,1
1043,proliferating epithelial,0
1044,GATA3+ epithelial,17
1045,luminal epithelial 3,2
1046,proliferating epithelial,14
1047,GATA3+ epithelial,0
1048,luminal epithelial 2,22
1049,luminal epithelial 2,5
1050,GATA3+ epithelial,13
1051,stromal 3,4
1052,hypoxic cells,0
1053,apoptotic epithelial 1,1
1054,stromal 3,3
1055,luminal epithelial 3,3
1056,immune,22
1057,luminal epithelial 1,1
1058,GATA3+ epithelial,3
1059,luminal epithelial 1,2
1060,luminal epithelial 2,4
1061,GATA3+ epithelial,15
1062,GATA3+ epithelial,0
1063,GATA3+ epithelial,2
1064,luminal epithelial 2,0
1065,immune,13
1066,luminal epithelial 1,0
1067,proliferating epithelial,0
1068,GATA3+ epithelial,0
1069,GATA3+ epithelial,22
1070,epithelial,14
1071,luminal epithelial 3,2
1072,immune,1
1073,luminal epithelial 1,3
1074,GATA3+ epithelial,12
1075,GATA3+ epithelial,1
1076,luminal epithelial 1,1
1077,luminal epithelial 3,14
1078,GATA3+ epithelial,14
1079,luminal epithelial 2,17
1080,luminal epithelial 3,0
1081,luminal epithelial 3,1
1082,luminal epithelial 1,13
1083,luminal epithelial 1,13
1084,immune,14
1085,proliferating epithelial,0
1086,hypoxic cells,8
1087,GATA3+ epithelial,16
1088,luminal epithelial 3,1
1089,proliferating epithelial,19
1090,luminal epithelial 3,0
1091,epithelial,9
1092,stromal 3,3
1093,proliferating epithelial,2
1094,proliferating epithelial,14
1095,luminal epithelial 1,0
1096,luminal epithelial 3,13
1097,apoptotic epithelial 2,2
1098,GATA3+ epithelial,3
